"","diet","ID"
"CD_CD_CD_103","CD_CD_CD","103"
"CD_CD_CD_105","CD_CD_CD","105"
"CD_CD_CD_106","CD_CD_CD","106"
"CD_CD_HFD_200","CD_CD_HFD","200"
"CD_CD_HFD_201","CD_CD_HFD","201"
"CD_CD_HFD_203","CD_CD_HFD","203"
"CD_CD_HFD_205","CD_CD_HFD","205"
"CD_CD_HFD_206","CD_CD_HFD","206"
"CD_CD_HFD_207","CD_CD_HFD","207"
"HFD_CD_CD_800","HFD_CD_CD","800"
"HFD_CD_CD_801","HFD_CD_CD","801"
"HFD_CD_CD_802","HFD_CD_CD","802"
"HFD_CD_CD_803","HFD_CD_CD","803"
"HFD_CD_HFD_700","HFD_CD_HFD","700"
"HFD_CD_HFD_701","HFD_CD_HFD","701"
"HFD_CD_HFD_702","HFD_CD_HFD","702"
"HFD_CD_HFD_703","HFD_CD_HFD","703"
"HFD_HFD_CD_601","HFD_HFD_CD","601"
"HFD_HFD_CD_602","HFD_HFD_CD","602"
"HFD_HFD_CD_603","HFD_HFD_CD","603"
"HFD_HFD_CD_604","HFD_HFD_CD","604"
"HFD_HFD_CD_605","HFD_HFD_CD","605"
"HFD_HFD_CD_606","HFD_HFD_CD","606"
"HFD_HFD_HFD_500","HFD_HFD_HFD","500"
"HFD_HFD_HFD_501","HFD_HFD_HFD","501"
"HFD_HFD_HFD_502","HFD_HFD_HFD","502"
"HFD_HFD_HFD_503","HFD_HFD_HFD","503"
"HFD_HFD_HFD_504","HFD_HFD_HFD","504"
